state,year
Mexico City,2015
State of Mexico,2015
Oacava,2015
Queretaro,2015
Puebla,2015
Campeche,2015
Baja California,2015
Baja California Sur,2015
Aguascaliente,2015
Coahuila,2015
Colima,2015
Chiapas,2015
Durango,2015
Guanajuato,2015
Guerrero,2015
Hidalgo,2015
Jalisco,2015
Michoacán,2015
Morelos,2015
Nayarit,2015
Nuevo León,2015
Quintana Roo,2015
San Luis Potosí,2015
Sinaloa,2015
Sonora,2015
Tabasco,2015
Tamaulipas,2015
Tlaxcala,2015
Veracruz,2015
Yucatán,2015
Zacatecas,2015
Chihuahua,2015
Mexico City,2014
State of Mexico,2014
Oacava,2014
Queretaro,2014
Puebla,2014
Campeche,2014
Baja California,2014
Baja California Sur,2014
Aguascaliente,2014
Coahuila,2014
Colima,2014
Chiapas,2014
Durango,2014
Guanajuato,2014
Guerrero,2014
Hidalgo,2014
Jalisco,2014
Michoacán,2014
Morelos,2014
Nayarit,2014
Nuevo León,2014
Quintana Roo,2014
San Luis Potosí,2014
Sinaloa,2014
Sonora,2014
Tabasco,2014
Tamaulipas,2014
Tlaxcala,2014
Veracruz,2014
Yucatán,2014
Zacatecas,2014
Chihuahua,2014
Mexico City,2013
State of Mexico,2013
Oacava,2013
Queretaro,2013
Puebla,2013
Campeche,2013
Baja California,2013
Baja California Sur,2013
Aguascaliente,2013
Coahuila,2013
Colima,2013
Chiapas,2013
Durango,2013
Guanajuato,2013
Guerrero,2013
Hidalgo,2013
Jalisco,2013
Michoacán,2013
Morelos,2013
Nayarit,2013
Nuevo León,2013
Quintana Roo,2013
San Luis Potosí,2013
Sinaloa,2013
Sonora,2013
Tabasco,2013
Tamaulipas,2013
Tlaxcala,2013
Veracruz,2013
Yucatán,2013
Zacatecas,2013
Chihuahua,2013
Mexico City,2012
State of Mexico,2012
Oacava,2012
Queretaro,2012
Puebla,2012
Campeche,2012
Baja California,2012
Baja California Sur,2012
Aguascaliente,2012
Coahuila,2012
Colima,2012
Chiapas,2012
Durango,2012
Guanajuato,2012
Guerrero,2012
Hidalgo,2012
Jalisco,2012
Michoacán,2012
Morelos,2012
Nayarit,2012
Nuevo León,2012
Quintana Roo,2012
San Luis Potosí,2012
Sinaloa,2012
Sonora,2012
Tabasco,2012
Tamaulipas,2012
Tlaxcala,2012
Veracruz,2012
Yucatán,2012
Zacatecas,2012
Chihuahua,2012
Mexico City,2011
State of Mexico,2011
Oacava,2011
Queretaro,2011
Puebla,2011
Campeche,2011
Baja California,2011
Baja California Sur,2011
Aguascaliente,2011
Coahuila,2011
Colima,2011
Chiapas,2011
Durango,2011
Guanajuato,2011
Guerrero,2011
Hidalgo,2011
Jalisco,2011
Michoacán,2011
Morelos,2011
Nayarit,2011
Nuevo León,2011
Quintana Roo,2011
San Luis Potosí,2011
Sinaloa,2011
Sonora,2011
Tabasco,2011
Tamaulipas,2011
Tlaxcala,2011
Veracruz,2011
Yucatán,2011
Zacatecas,2011
Chihuahua,2011
